BarcodeID,age,Treatment,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
1,fiveweek,Diverse,311,446.2419355,31.50585023,482.7424336,13.19163861,2.836248112,0.868988018,7.632889632,60.0936194
2,fiveweek,Diverse,368,539.6511628,42.60177146,542.8723507,12.37154923,3.783622808,0.942731227,17.46152292,57.07062282
3,fiveweek,Diverse,521,754.4285714,48.57132852,729.569831,14.55020592,4.045162563,0.962706125,26.81405446,86.62077694
4,fiveweek,Diverse,370,632.5833333,64.32488272,602.5773433,13.68135557,3.55841289,0.904857659,10.51056757,58.71703279
5,fiveweek,Diverse,238,335.3333333,31.00792099,338.8798474,9.743234351,3.78666144,0.96032318,25.20363273,39.16109638
6,fiveweek,Diverse,251,423.6666667,45.30032502,441.6366625,13.34174784,2.553785364,0.81398238,5.375834813,44.10132079
7,fiveweek,Diverse,272,462.2727273,57.89874611,420.5590051,11.13279662,3.377049717,0.902545748,10.26122491,41.4049243
8,fiveweek,Control,195,261.12,23.25432796,263.0418188,8.535847142,3.154603479,0.898763227,9.877833617,30.89864726
9,fiveweek,Diverse,325,471.4473684,38.89688137,451.3546973,11.15384608,3.082676386,0.84791321,6.575193011,53.36956008
11,fiveweek,Control,365,483.825,32.32965097,480.8074487,11.36879544,4.192372867,0.97615405,41.93584158,50.69106986
12,fiveweek,Control,474,581,27.40391423,567.8180346,11.9302504,3.236738729,0.930872617,14.46604742,63.48037833
13,fiveweek,Control,487,704,47.75625632,701.8254569,14.37281167,3.813022142,0.962581089,26.7244551,59.76292903
14,fiveweek,Control,445,591.2195122,37.94121636,564.9017061,12.03651551,4.179694853,0.974787639,39.66308473,61.17818825
15,fiveweek,Control,288,444,42.04033379,450.0756036,12.47705783,3.593939556,0.956771814,23.13305508,46.79287547
17,fiveweek,Control,331,490.3846154,41.34548967,464.2806166,11.37322747,3.462295034,0.929020488,14.08857248,51.58019669
18,fiveweek,Control,561,772.9859155,43.30146223,792.072811,15.33236908,3.606820387,0.951109854,20.4540195,72.72015989
19,fiveweek,Control,208,275.2,22.34744832,291.09404,9.324382115,3.179351013,0.919348626,12.39904483,32.39951472
20,fiveweek,Control,393,541.2222222,37.27914598,531.9988793,12.20044588,3.056688267,0.882956354,8.54382134,51.04978327
21,adult,Maternal,512,677.0185185,38.45679212,653.6920785,12.79247861,3.874221293,0.928826139,14.05010197,69.43795254
22,adult,Maternal,316,411.3571429,26.74623526,413.3709826,10.59895942,2.215664476,0.629897823,2.701956548,51.62619858
23,adult,Maternal,637,711.0847458,20.0400042,710.1521607,13.01408474,3.800981163,0.89790152,9.794465097,83.13569701
24,adult,Maternal,267,384.3448276,35.31907794,358.30146,9.715227756,3.572297417,0.945497215,18.34768631,46.97046397
