"","Var1","barcode01","barcode02","barcode03","barcode04","barcode05","barcode06","barcode07","barcode08","barcode09","barcode10","barcode11","barcode12","barcode13","barcode14","barcode15","barcode16","barcode17","barcode18","barcode19","barcode20","barcode21","barcode22","barcode23","barcode24","unclassified"
"","",4,56,44,35,19,6,20,14,17,15,656,276,350,340,28,1,17,125,35,252,355,142,1984,224,547
"[Bacillus] selenitireducens MLS10","[Bacillus] selenitireducens MLS10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"[Bacteroides] pectinophilus","[Bacteroides] pectinophilus",0,24,0,0,1,0,2,4,0,0,4,0,11,479,2,0,2,1,1,8,9,1,50,1,32
"[Brevibacterium] frigoritolerans","[Brevibacterium] frigoritolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"[Clostridium] aminophilum","[Clostridium] aminophilum",0,0,0,0,3,0,0,0,0,0,1,0,4,20,0,0,0,1,0,1,4,0,13,0,3
"[Clostridium] celerecrescens 18A","[Clostridium] celerecrescens 18A",0,28,1,12,6,0,11,3,7,0,67,13,176,138,3,0,19,25,3,134,94,2,135,2,58
"[Clostridium] cellulosi","[Clostridium] cellulosi",0,0,0,3,0,0,1,0,0,0,5,4,12,17,0,0,1,12,0,9,5,0,5,1,1
"[Clostridium] cocleatum","[Clostridium] cocleatum",0,0,0,8,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2
"[Clostridium] colinum","[Clostridium] colinum",0,1,3,1,0,0,0,0,2,0,0,0,16,132,0,0,1,1,0,8,7,0,7598,0,293
"[Clostridium] dakarense","[Clostridium] dakarense",59,2029,1205,614,72,1331,667,6,1572,141,3765,8,32,3045,7,246,1365,4580,2490,1,21,26,145,1,716
"[Clostridium] fimetarium","[Clostridium] fimetarium",0,20,1,8,8,3,7,3,0,0,68,34,45,24,4,0,1,41,2,48,137,6,84,5,15
"[Clostridium] herbivorans","[Clostridium] herbivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
