"","superkingdom","clade","phylum","class","order","family","genus","species","strain"
"Absiella tortuosum","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Absiella","Absiella tortuosum","strain"
"Abyssisolibacter fermentans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Abyssisolibacter","Abyssisolibacter fermentans","strain"
"Abyssivirga alkaniphila","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Vallitaleaceae","Abyssivirga","Abyssivirga alkaniphila","strain"
"Acetanaerobacterium elongatum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetanaerobacterium","Acetanaerobacterium elongatum","strain"
"Acetatifactor muris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor","Acetatifactor muris","strain"
"Acetitomaculum ruminis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetitomaculum","Acetitomaculum ruminis","strain"
"Acetivibrio aldrichii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio aldrichii","strain"
"Acetivibrio alkalicellulosi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio alkalicellulosi","strain"
"Acetivibrio cellulolyticus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio cellulolyticus","strain"
"Acetivibrio clariflavus DSM 19732","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio clariflavus","Acetivibrio clariflavus DSM 19732"
"Acetivibrio ethanolgignens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","strain"
"Acetivibrio saccincola","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio saccincola","strain"
"Acetivibrio straminisolvens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio straminisolvens","strain"
"Acetivibrio thermocellus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio thermocellus","strain"
"Acetonema longum DSM 6540","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Acetonema","Acetonema longum","Acetonema longum DSM 6540"
"Acidaminobacter hydrogenoformans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XII. Incertae Sedis","Acidaminobacter","Acidaminobacter hydrogenoformans","strain"
"Acidaminococcus fermentans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","strain"
"Acidaminococcus fermentans DSM 20731","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus fermentans","Acidaminococcus fermentans DSM 20731"
"Acinetobacter bereziniae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter bereziniae","strain"
"Acinetobacter johnsonii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii","strain"
"Actinomyces polynesiensis","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces polynesiensis","strain"
"Acutalibacter muris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acutalibacter","Acutalibacter muris","strain"
"Agathobacter ruminis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Agathobacter","Agathobacter ruminis","strain"
"Agathobaculum butyriciproducens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum butyriciproducens","strain"
"Agathobaculum desmolans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum desmolans","strain"
"Akkermansia glycaniphila","Bacteria","PVC group","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia glycaniphila","strain"
"Akkermansia muciniphila","Bacteria","PVC group","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","strain"
"Akkermansia muciniphila ATCC BAA-835","Bacteria","PVC group","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia muciniphila ATCC BAA-835"
"Aliidiomarina soli","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Aliidiomarina","Aliidiomarina soli","strain"
"Alistipes finegoldii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","strain"
